,0,1
0,1445,535
1,1445,538
2,1445,542
3,1445,545
4,1445,549
5,1445,552
6,1445,556
7,1444,559
8,1444,562
9,1444,566
10,1444,569
11,1444,573
12,1443,576
13,1443,579
14,1443,583
15,1442,586
16,1442,590
17,1442,593
18,1441,596
19,1441,600
20,1440,603
21,1440,607
22,1439,610
23,1439,613
24,1438,617
25,1438,620
26,1437,623
27,1436,627
28,1436,630
29,1435,634
30,1434,637
31,1434,640
32,1433,644
33,1432,647
34,1431,650
35,1430,654
36,1430,657
37,1429,660
38,1428,663
39,1427,667
40,1426,670
41,1425,673
42,1424,677
43,1423,680
44,1422,683
45,1421,686
46,1420,690
47,1419,693
48,1418,696
49,1417,699
50,1415,703
51,1414,706
52,1413,709
53,1412,712
54,1411,715
55,1409,719
56,1408,722
57,1407,725
58,1405,728
59,1404,731
60,1403,734
61,1401,737
62,1400,741
63,1398,744
64,1397,747
65,1395,750
66,1394,753
67,1392,756
68,1391,759
69,1389,762
70,1388,765
71,1386,768
72,1384,771
73,1383,774
74,1381,777
75,1379,780
76,1378,783
77,1376,786
78,1374,789
79,1372,792
80,1371,795
81,1369,798
82,1367,800
83,1365,803
84,1363,806
85,1361,809
86,1359,812
87,1357,815
88,1355,817
89,1353,820
90,1351,823
91,1349,826
92,1347,829
93,1345,831
94,1343,834
95,1341,837
96,1339,839
97,1337,842
98,1335,845
99,1333,847
100,1330,850
101,1328,853
102,1326,855
103,1324,858
104,1321,860
105,1319,863
106,1317,865
107,1315,868
108,1312,870
109,1310,873
110,1307,875
111,1305,878
112,1303,880
113,1300,883
114,1298,885
115,1295,887
116,1293,890
117,1290,892
118,1288,895
119,1285,897
120,1283,899
121,1280,901
122,1278,904
123,1275,906
124,1273,908
125,1270,910
126,1267,913
127,1265,915
128,1262,917
129,1259,919
130,1257,921
131,1254,923
132,1251,925
133,1249,927
134,1246,929
135,1243,931
136,1240,933
137,1237,935
138,1235,937
139,1232,939
140,1229,941
141,1226,943
142,1223,945
143,1220,947
144,1218,949
145,1215,951
146,1212,952
147,1209,954
148,1206,956
149,1203,958
150,1200,959
151,1197,961
152,1194,963
153,1191,964
154,1188,966
155,1185,968
156,1182,969
157,1179,971
158,1176,972
159,1173,974
160,1170,975
161,1167,977
162,1164,978
163,1161,980
164,1157,981
165,1154,983
166,1151,984
167,1148,985
168,1145,987
169,1142,988
170,1139,989
171,1135,991
172,1132,992
173,1129,993
174,1126,994
175,1123,995
176,1119,997
177,1116,998
178,1113,999
179,1110,1000
180,1106,1001
181,1103,1002
182,1100,1003
183,1097,1004
184,1093,1005
185,1090,1006
186,1087,1007
187,1083,1008
188,1080,1009
189,1077,1010
190,1074,1010
191,1070,1011
192,1067,1012
193,1064,1013
194,1060,1014
195,1057,1014
196,1054,1015
197,1050,1016
198,1047,1016
199,1043,1017
200,1040,1018
201,1037,1018
202,1033,1019
203,1030,1019
204,1027,1020
205,1023,1020
206,1020,1021
207,1016,1021
208,1013,1022
209,1010,1022
210,1006,1022
211,1003,1023
212,999,1023
213,996,1023
214,993,1024
215,989,1024
216,986,1024
217,982,1024
218,979,1024
219,976,1025
220,972,1025
221,969,1025
222,965,1025
223,962,1025
224,958,1025
225,955,1025
226,952,1025
227,948,1025
228,945,1025
229,941,1025
230,938,1025
231,934,1025
232,931,1024
233,928,1024
234,924,1024
235,921,1024
