,0,1
0,1044,1011
1,1047,1007
2,1050,1003
3,1053,999
4,1056,995
5,1059,991
6,1062,987
7,1065,983
8,1068,979
9,1071,975
10,1074,971
11,1077,967
12,1080,963
13,1083,959
14,1086,955
15,1089,951
16,1092,947
17,1095,943
18,1098,939
19,1101,935
20,1104,931
21,1107,927
22,1110,923
23,1113,919
24,1116,915
25,1119,911
26,1122,907
27,1125,903
28,1128,899
29,1131,895
30,1134,891
31,1137,887
32,1140,883
33,1143,879
34,1146,875
35,1149,871
36,1152,867
37,1155,863
38,1158,859
39,1161,855
40,1164,851
41,1167,847
42,1170,843
43,1173,839
44,1176,835
45,1179,831
46,1182,827
47,1185,823
48,1188,819
49,1191,815
50,1194,811
51,1197,807
52,1200,803
53,1203,799
54,1206,795
55,1209,791
56,1212,787
57,1215,783
58,1218,779
59,1221,775
60,1224,771
61,1227,767
62,1230,763
63,1233,759
64,1236,755
65,1239,751
66,1242,747
67,1245,743
68,1248,739
69,1251,735
70,1254,731
71,1257,727
72,1260,723
73,1263,719
74,1266,715
75,1269,711
76,1272,707
77,1275,703
78,1278,699
79,1281,695
80,1284,691
81,1287,687
82,1290,683
83,1293,679
84,1296,675
85,1299,671
86,1302,667
87,1305,663
88,1308,659
89,1311,655
90,1314,651
91,1317,647
92,1320,643
93,1323,639
94,1326,635
95,1329,631
96,1332,627
97,1335,623
98,1338,619
99,1341,615
100,1344,611
101,1347,607
102,1350,603
103,1353,599
104,1356,595
105,1359,591
106,1362,587
107,1365,583
108,1368,579
109,1371,575
110,1374,571
111,1377,567
112,1380,563
113,1383,559
114,1386,555
115,1389,551
116,1392,547
117,1395,543
118,1398,539
119,1401,535
120,1404,531
121,1407,527
122,1410,523
123,1413,519
124,1416,515
125,1419,511
126,1422,507
127,1425,503
128,1428,499
129,1431,495
130,1434,491
131,1437,487
132,1440,483
133,1443,479
134,1446,475
135,1449,471
136,1452,467
137,1455,463
138,1458,459
139,1461,455
140,1464,451
141,1467,447
142,1470,443
143,1473,439
144,1476,435
145,1479,431
146,1482,427
147,1485,423
148,1488,419
149,1491,415
150,1494,411
151,1497,407
152,1500,403
153,1503,399
154,1506,395
155,1509,391
156,1512,387
157,1515,383
158,1518,379
159,1521,375
160,1524,371
161,1527,367
162,1530,363
163,1533,359
164,1536,355
165,1539,351
166,1542,347
167,1545,343
168,1548,339
169,1551,335
170,1554,331
171,1557,327
172,1560,323
173,1563,319
174,1566,315
175,1569,311
176,1572,307
177,1575,303
178,1578,299
179,1581,295
180,1584,291
181,1587,287
182,1590,283
183,1593,279
184,1596,275
185,1599,271
186,1602,267
187,1605,263
188,1608,259
189,1611,255
190,1614,251
191,1617,247
192,1620,243
193,1623,239
194,1626,235
195,1629,231
196,1632,227
197,1635,223
198,1638,219
199,1641,215
200,1644,211
201,1647,207
202,1650,203
203,1653,199
204,1656,195
205,1659,191
206,1662,187
207,1665,183
208,1668,179
209,1671,175
210,1674,171
211,1677,167
212,1680,163
213,1683,159
214,1686,155
215,1689,151
216,1692,147
217,1695,143
218,1698,139
219,1701,135
220,1704,131
221,1707,127
222,1710,123
223,1713,119
224,1716,115
225,1719,111
226,1722,107
227,1725,103
228,1728,99
229,1731,95
230,1734,91
231,1737,87
232,1740,83
233,1743,79
234,1746,75
235,1749,71
236,1752,67
237,1755,63
238,1758,59
239,1761,55
240,1764,51
241,1767,47
242,1770,43
243,1773,39
244,1776,35
245,1779,31
246,1782,27
247,1785,23
248,1788,19
249,1791,15
250,1794,11
251,1797,10
252,1800,14
253,1803,18
254,1806,22
255,1809,26
256,1812,30
257,1815,34
258,1818,38
259,1821,42
260,1824,46
261,1827,50
262,1830,54
263,1833,58
264,1836,62
265,1839,66
266,1842,70
267,1845,74
268,1848,78
269,1851,82
270,1854,86
271,1857,90
272,1860,94
273,1863,98
274,1866,102
275,1869,106
276,1872,110
277,1875,114
278,1878,118
279,1881,122
280,1884,126
281,1887,130
282,1890,134
283,1893,138
284,1896,142
285,1899,146
286,1902,150
287,1905,154
288,1908,158
289,1910,162
290,1907,166
291,1904,170
292,1901,174
293,1898,178
294,1895,182
295,1892,186
296,1889,190
297,1886,194
298,1883,198
299,1880,202
300,1877,206
301,1874,210
302,1871,214
303,1868,218
304,1865,222
305,1862,226
306,1859,230
307,1856,234
308,1853,238
309,1850,242
310,1847,246
311,1844,250
312,1841,254
313,1838,258
314,1835,262
315,1832,266
316,1829,270
317,1826,274
318,1823,278
319,1820,282
320,1817,286
321,1814,290
322,1811,294
323,1808,298
324,1805,302
325,1802,306
326,1799,310
327,1796,314
328,1793,318
329,1790,322
330,1787,326
331,1784,330
332,1781,334
333,1778,338
334,1775,342
335,1772,346
336,1769,350
337,1766,354
338,1763,358
339,1760,362
340,1757,366
341,1754,370
342,1751,374
343,1748,378
344,1745,382
345,1742,386
346,1739,390
347,1736,394
348,1733,398
349,1730,402
350,1727,406
351,1724,410
352,1721,414
353,1718,418
354,1715,422
355,1712,426
356,1709,430
357,1706,434
358,1703,438
359,1700,442
360,1697,446
361,1694,450
362,1691,454
363,1688,458
364,1685,462
365,1682,466
366,1679,470
367,1676,474
368,1673,478
369,1670,482
370,1667,486
371,1664,490
372,1661,494
373,1658,498
374,1655,502
375,1652,506
376,1649,510
377,1646,514
378,1643,518
379,1640,522
380,1637,526
381,1634,530
