,0
0,1666750573.025284
1,1666750573.038492
2,1666750573.0506425
3,1666750573.0643587
4,1666750573.0771465
5,1666750573.088045
6,1666750573.1004293
7,1666750573.1144693
8,1666750573.1241515
9,1666750573.1380787
10,1666750573.150516
11,1666750573.1614375
12,1666750573.1742723
13,1666750573.1862872
14,1666750573.199016
15,1666750573.2099898
16,1666750573.2231011
17,1666750573.2342806
18,1666750573.244847
19,1666750573.2578511
20,1666750573.2721267
21,1666750573.2825718
22,1666750573.2975008
23,1666750573.3086555
24,1666750573.3221023
25,1666750573.3353567
26,1666750573.3474934
27,1666750573.3581676
28,1666750573.3700912
29,1666750573.3840587
30,1666750573.4033053
31,1666750573.4180632
32,1666750573.431277
33,1666750573.4441547
34,1666750573.4604776
35,1666750573.4746044
36,1666750573.4865866
37,1666750573.4986925
38,1666750573.511261
39,1666750573.5280516
40,1666750573.542055
41,1666750573.5554786
42,1666750573.5689948
43,1666750573.585065
44,1666750573.599986
45,1666750573.6158564
46,1666750573.630226
47,1666750573.64462
48,1666750573.6594338
49,1666750573.6763375
50,1666750573.693241
51,1666750573.7319343
52,1666750573.7409794
53,1666750573.7849815
54,1666750573.7943761
55,1666750573.808272
56,1666750573.8220778
57,1666750573.8370717
58,1666750573.8548923
59,1666750573.8734438
60,1666750573.8867846
61,1666750573.899096
62,1666750573.9151
63,1666750573.9281538
64,1666750573.9420533
65,1666750573.9580867
66,1666750573.9731855
67,1666750573.9874227
68,1666750574.0034258
69,1666750574.020274
70,1666750574.0353854
71,1666750574.053801
72,1666750574.067384
73,1666750574.0823536
74,1666750574.1007075
75,1666750574.1142735
76,1666750574.12841
77,1666750574.146109
78,1666750574.1604245
79,1666750574.174367
80,1666750574.1892936
81,1666750574.204211
82,1666750574.2183018
83,1666750574.2347548
84,1666750574.2477117
85,1666750574.2626426
86,1666750574.2750435
87,1666750574.291574
88,1666750574.3060064
89,1666750574.321109
90,1666750574.3372762
91,1666750574.3510528
92,1666750574.3660488
93,1666750574.3838859
94,1666750574.3977375
95,1666750574.4122746
96,1666750574.4277668
97,1666750574.4433331
98,1666750574.4583862
99,1666750574.4724915
100,1666750574.4848008
101,1666750574.4986067
102,1666750574.5147514
103,1666750574.5271785
104,1666750574.5429966
105,1666750574.557386
106,1666750574.5717635
107,1666750574.5873768
108,1666750574.6002095
109,1666750574.6127532
110,1666750574.6273198
111,1666750574.6415138
112,1666750574.6964417
113,1666750574.7225482
114,1666750574.734311
115,1666750574.7469075
116,1666750574.7594736
117,1666750574.779339
118,1666750574.7944298
119,1666750574.8094256
120,1666750574.823231
121,1666750574.8353639
122,1666750574.8502905
123,1666750574.8635814
124,1666750574.8760495
125,1666750574.8901796
126,1666750574.904238
127,1666750574.917511
128,1666750574.9330328
129,1666750574.9453135
130,1666750574.958429
131,1666750574.9721804
132,1666750574.9843338
133,1666750574.9993894
134,1666750575.0126283
135,1666750575.0256689
136,1666750575.0405936
137,1666750575.0555797
138,1666750575.069503
139,1666750575.0820582
140,1666750575.0961998
141,1666750575.109112
142,1666750575.1220539
143,1666750575.1352735
144,1666750575.150339
145,1666750575.164134
146,1666750575.1793568
147,1666750575.1931543
148,1666750575.2088838
149,1666750575.2215445
150,1666750575.234007
151,1666750575.2462735
152,1666750575.2576342
153,1666750575.274296
154,1666750575.287575
155,1666750575.301145
156,1666750575.3157942
157,1666750575.3316057
158,1666750575.345867
159,1666750575.3601441
160,1666750575.3747501
161,1666750575.3877532
162,1666750575.4013045
163,1666750575.4163184
164,1666750575.4287286
165,1666750575.4422302
166,1666750575.4561539
167,1666750575.4699428
168,1666750575.4854984
169,1666750575.4991379
170,1666750575.5112524
171,1666750575.5245907
172,1666750575.5363762
173,1666750575.550852
174,1666750575.5653446
175,1666750575.5787559
176,1666750575.5933118
177,1666750575.609282
178,1666750575.6235337
179,1666750575.6388206
180,1666750575.6519938
181,1666750575.7015173
182,1666750575.722645
183,1666750575.747893
184,1666750575.7618272
185,1666750575.7746158
186,1666750575.7906666
187,1666750575.805355
188,1666750575.8223953
189,1666750575.8387053
190,1666750575.8562598
191,1666750575.8704
192,1666750575.8821516
193,1666750575.897753
194,1666750575.912189
195,1666750575.926188
196,1666750575.942127
197,1666750575.9552376
198,1666750575.9712982
199,1666750575.9843607
200,1666750575.9977775
201,1666750576.0105546
202,1666750576.0250983
203,1666750576.0405245
204,1666750576.054526
205,1666750576.0682642
206,1666750576.0809197
207,1666750576.0935323
208,1666750576.1071239
209,1666750576.1221848
210,1666750576.1345868
211,1666750576.1471975
212,1666750576.162431
213,1666750576.1760726
214,1666750576.1899774
215,1666750576.2040074
216,1666750576.2170222
217,1666750576.2304225
218,1666750576.242552
219,1666750576.2582278
220,1666750576.272187
221,1666750576.2851782
222,1666750576.2994254
223,1666750576.3134785
224,1666750576.3282692
225,1666750576.341506
226,1666750576.3544137
227,1666750576.3678236
228,1666750576.3792005
229,1666750576.39418
230,1666750576.4060826
231,1666750576.4195464
232,1666750576.4341335
233,1666750576.448066
234,1666750576.4610727
235,1666750576.4750485
236,1666750576.490064
237,1666750576.5021017
238,1666750576.516275
239,1666750576.5290766
240,1666750576.544208
241,1666750576.5575044
